Sr_No,State,District,Latitude,Longitude,Grid_ID,Accident_Count,All_India_Rank
S.No,State name,District name,Lat,Long,Grid ID,TotalAccidents,Rank,Ambulance
1,MAHARASHTRA,Nashik,19.99744,73.800727,1208954,131,111,
2,MAHARASHTRA,Nashik,19.99744,73.787918,1208953,93,566,
3,MAHARASHTRA,Nashik,19.959013,73.7623,1207114,90,1069,
4,MAHARASHTRA,Nashik,20.010249,73.800727,1209567,88,1115,
5,MAHARASHTRA,Nashik,19.971822,73.775109,1207728,79,1371,
6,MAHARASHTRA,Nashik,19.715639,74.133765,1195715,78,100,
7,MAHARASHTRA,Nashik,19.99744,73.775109,1208952,67,824,
8,MAHARASHTRA,Nashik,19.984631,73.787918,1208341,65,999,
9,MAHARASHTRA,Nashik,20.010249,73.826345,1209569,61,255,
10,MAHARASHTRA,Nashik,20.010249,73.813536,1209568,59,1807,
11,MAHARASHTRA,Nashik,19.984631,73.800727,1208342,55,2357,
12,MAHARASHTRA,Nashik,19.959013,73.839155,1207120,54,2501,
13,MAHARASHTRA,Nashik,19.946204,73.839155,1206506,53,3522,
14,MAHARASHTRA,Nashik,20.010249,73.7623,1209564,53,8872,
15,MAHARASHTRA,Nashik,19.971822,73.813536,1207731,50,3704,
16,MAHARASHTRA,Nashik,20.253623,74.441185,1220753,49,1431,
17,MAHARASHTRA,Nashik,19.99744,73.749491,1208950,47,1821,
18,MAHARASHTRA,Nashik,19.984631,73.775109,1208340,45,3101,
19,MAHARASHTRA,Nashik,20.010249,73.787918,1209566,45,3237,
20,MAHARASHTRA,Nashik,20.010249,73.749491,1209563,45,5613,
21,MAHARASHTRA,Nashik,19.959013,73.826345,1207119,44,9223,
22,MAHARASHTRA,Nashik,20.368905,74.313093,1225779,44,1589,
23,MAHARASHTRA,Nashik,19.984631,73.7623,1208339,43,4544,
24,MAHARASHTRA,Nashik,19.946204,73.775109,1206501,43,2995,
25,MAHARASHTRA,Nashik,19.946204,73.749491,1206499,43,4610,
26,MAHARASHTRA,Nashik,19.959013,73.749491,1207113,42,7156,
27,MAHARASHTRA,Nashik,20.035868,73.800727,1210793,39,3778,
28,MAHARASHTRA,Nashik,19.971822,73.7623,1207727,39,17917,
29,MAHARASHTRA,Nashik,20.330478,74.236238,1224077,38,1688,
30,MAHARASHTRA,Nashik,19.971822,73.749491,1207726,37,11025,
31,MAHARASHTRA,Nashik,19.971822,73.787918,1207729,34,9748,
32,MAHARASHTRA,Nashik,20.023058,73.839155,1210183,34,5452,
33,MAHARASHTRA,Nashik,19.728448,73.634208,1196262,33,2919,
34,MAHARASHTRA,Nashik,20.023058,73.800727,1210180,33,7161,
35,MAHARASHTRA,Nashik,20.023058,73.787918,1210179,32,9921,
36,MAHARASHTRA,Nashik,20.573852,74.569276,1234774,32,2593,
37,MAHARASHTRA,Nashik,20.023058,73.826345,1210182,32,8168,
38,MAHARASHTRA,Nashik,20.048677,73.800727,1211406,31,4127,
39,MAHARASHTRA,Nashik,19.984631,73.813536,1208343,31,15462,
40,MAHARASHTRA,Nashik,20.035868,73.864773,1210798,30,2855,
41,MAHARASHTRA,Nashik,19.959013,73.736681,1207112,30,8790,
42,MAHARASHTRA,Nashik,19.971822,73.839155,1207733,29,9007,
43,MAHARASHTRA,Nashik,19.920585,73.711063,1205279,29,3593,
44,MAHARASHTRA,Nashik,20.561043,74.530849,1234213,29,6716,
45,MAHARASHTRA,Nashik,19.84373,74.005674,1201648,29,3562,
46,MAHARASHTRA,Nashik,19.715639,73.621399,1195675,28,9540,
47,MAHARASHTRA,Nashik,20.023058,73.723872,1210174,27,8614,
48,MAHARASHTRA,Nashik,20.010249,73.775109,1209565,27,9851,
49,MAHARASHTRA,Nashik,20.074295,74.108147,1212655,26,8332,
50,MAHARASHTRA,Nashik,20.535424,74.492421,1233094,26,3062,
51,MAHARASHTRA,Nashik,19.984631,73.723872,1208336,26,7492,
52,MAHARASHTRA,Nashik,20.663516,74.671749,1238589,25,6515,
53,MAHARASHTRA,Nashik,19.85654,73.685445,1202233,25,4929,
54,MAHARASHTRA,Nashik,20.522615,74.530849,1232539,25,2898,
55,MAHARASHTRA,Nashik,19.933394,73.723872,1205886,24,8678,
56,MAHARASHTRA,Nashik,20.15115,73.980055,1216219,24,7158,
57,MAHARASHTRA,Nashik,20.035868,74.492421,1210847,23,6910,
58,MAHARASHTRA,Nashik,19.933394,73.839155,1205895,23,17548,
59,MAHARASHTRA,Nashik,20.163959,73.992864,1216796,23,8672,
60,MAHARASHTRA,Nashik,19.946204,73.851964,1206507,23,21286,
61,MAHARASHTRA,Nashik,19.971822,73.736681,1207725,23,11486,
62,MAHARASHTRA,Nashik,19.984631,73.749491,1208338,23,23877,
63,MAHARASHTRA,Nashik,19.84373,74.044101,1201651,22,6983,
64,MAHARASHTRA,Nashik,19.946204,73.7623,1206500,22,19311,
65,MAHARASHTRA,Nashik,20.074295,73.9032,1212639,22,5353,
66,MAHARASHTRA,Nashik,20.535424,74.543658,1233098,22,7215,
67,MAHARASHTRA,Nashik,20.548233,74.530849,1233655,22,12795,
68,MAHARASHTRA,Nashik,20.266432,74.441185,1221302,22,14779,
69,MAHARASHTRA,Nashik,20.023058,73.813536,1210181,21,16947,
70,MAHARASHTRA,Nashik,20.048677,73.787918,1211405,21,7591,
71,MAHARASHTRA,Nashik,20.010249,73.711063,1209560,21,11116,
72,MAHARASHTRA,Nashik,19.959013,73.775109,1207115,21,15119,
73,MAHARASHTRA,Nashik,19.84373,73.992864,1201647,21,16904,
74,MAHARASHTRA,Nashik,19.907776,73.9032,1204685,21,13807,
75,MAHARASHTRA,Nashik,20.253623,73.557353,1220684,21,8561,
76,MAHARASHTRA,Nashik,19.830921,73.672636,1201009,21,7442,
77,MAHARASHTRA,Nashik,19.690021,73.570163,1194502,20,6249,
78,MAHARASHTRA,Nashik,20.087104,73.91601,1213246,20,5933,
79,MAHARASHTRA,Nashik,19.946204,73.736681,1206498,20,,
80,MAHARASHTRA,Nashik,20.253623,73.60859,1220688,20,,
81,MAHARASHTRA,Nashik,19.99744,73.7623,1208951,20,,
82,MAHARASHTRA,Nashik,20.509806,74.518039,1231979,20,7916,
83,MAHARASHTRA,Nashik,20.535424,74.556467,1233099,20,7947,
84,MAHARASHTRA,Nashik,20.535424,74.518039,1233096,19,7347,
85,MAHARASHTRA,Nashik,19.869349,73.967246,1202862,19,11534,
86,MAHARASHTRA,Nashik,20.330478,73.890391,1224050,19,8417,
87,MAHARASHTRA,Nashik,19.971822,73.826345,1207732,19,25549,
88,MAHARASHTRA,Nashik,20.202387,73.826345,1218494,19,13096,
89,MAHARASHTRA,Nashik,19.971822,73.723872,1207724,19,19256,
90,MAHARASHTRA,Nashik,20.240814,73.544544,1220136,19,21531,
91,MAHARASHTRA,Nashik,20.253623,74.082528,1220725,19,7420,
92,MAHARASHTRA,Nashik,19.933394,73.736681,1205887,19,18808,
93,MAHARASHTRA,Nashik,20.176768,73.992864,1217367,18,8866,
94,MAHARASHTRA,Nashik,20.625088,74.633322,1236973,18,6679,
95,MAHARASHTRA,Nashik,20.561043,74.518039,1234212,18,11540,
96,MAHARASHTRA,Nashik,20.381715,74.325902,1226346,18,13300,
97,MAHARASHTRA,Nashik,19.894967,73.698254,1204057,18,4855,
98,MAHARASHTRA,Nashik,20.279241,73.941628,1221817,18,12783,
99,MAHARASHTRA,Nashik,19.971822,73.800727,1207730,18,25127,
100,MAHARASHTRA,Nashik,20.420142,74.351521,1228039,17,10024,
101,MAHARASHTRA,Nashik,20.048677,73.877582,1211412,17,19198,
102,MAHARASHTRA,Nashik,20.228005,73.839155,1219613,17,8999,
103,MAHARASHTRA,Nashik,19.99744,73.736681,1208949,17,15994,
104,MAHARASHTRA,Nashik,20.061486,73.890391,1212026,17,15097,
105,MAHARASHTRA,Nashik,20.279241,74.095338,1221829,17,9066,
106,MAHARASHTRA,Nashik,20.573852,74.633322,1234779,17,3846,
107,MAHARASHTRA,Nashik,20.59947,74.197811,1235849,17,11646,
108,MAHARASHTRA,Nashik,20.099913,73.928819,1213848,17,10572,
109,MAHARASHTRA,Nashik,20.496997,74.453994,1231415,17,17403,
110,MAHARASHTRA,Nashik,19.805303,73.672636,1199793,16,10113,
111,MAHARASHTRA,Nashik,19.984631,73.45488,1208315,16,,
112,MAHARASHTRA,Nashik,19.766876,73.659827,1198018,16,5089,
113,MAHARASHTRA,Nashik,20.240814,74.069719,1220177,16,18638,
114,MAHARASHTRA,Nashik,20.215196,74.044101,1219075,16,6956,
115,MAHARASHTRA,Nashik,19.920585,73.877582,1205292,16,8791,
116,MAHARASHTRA,Nashik,20.189577,74.005674,1217938,16,14461,
117,MAHARASHTRA,Nashik,20.048677,74.479612,1211459,16,19623,
118,MAHARASHTRA,Nashik,20.30486,74.146574,1222948,16,7162,
119,MAHARASHTRA,Nashik,20.023058,73.851964,1210184,16,17020,
120,MAHARASHTRA,Nashik,20.561043,74.543658,1234214,16,15685,
121,MAHARASHTRA,Nashik,19.99744,73.723872,1208948,16,18698,
122,MAHARASHTRA,Nashik,20.253623,73.531735,1220682,15,16438,
123,MAHARASHTRA,Nashik,20.061486,73.800727,1212019,15,15325,
124,MAHARASHTRA,Nashik,19.959013,73.647017,1207105,15,11242,
125,MAHARASHTRA,Nashik,19.946204,73.544544,1206483,15,9533,
126,MAHARASHTRA,Nashik,20.535424,74.197811,1233071,15,10660,
127,MAHARASHTRA,Nashik,19.99744,73.839155,1208957,15,14734,
128,MAHARASHTRA,Nashik,20.215196,73.826345,1219058,15,18418,
129,MAHARASHTRA,Nashik,20.548233,74.518039,1233654,15,25472,
130,MAHARASHTRA,Nashik,20.484188,74.50523,1230859,15,17402,
131,MAHARASHTRA,Nashik,20.458569,74.402757,1229730,15,12330,
132,MAHARASHTRA,Nashik,19.690021,73.595781,1194504,15,14670,
133,MAHARASHTRA,Nashik,20.253623,73.518926,1220681,14,11066,
134,MAHARASHTRA,Nashik,19.690021,73.544544,1194500,14,23096,
135,MAHARASHTRA,Nashik,20.074295,73.659827,1212620,14,19375,
136,MAHARASHTRA,Nashik,20.791607,74.21062,1243804,14,16381,
137,MAHARASHTRA,Nashik,20.458569,74.185002,1229713,14,18865,
138,MAHARASHTRA,Nashik,19.818112,73.9032,1200413,14,11521,
139,MAHARASHTRA,Nashik,20.561043,74.569276,1234216,14,14676,
140,MAHARASHTRA,Nashik,19.70283,73.60859,1195087,14,,
141,MAHARASHTRA,Nashik,20.548233,74.556467,1233657,14,13017,
142,MAHARASHTRA,Nashik,20.023058,73.992864,1210195,14,19170,
143,MAHARASHTRA,Nashik,19.792494,73.672636,1199196,14,,
144,MAHARASHTRA,Nashik,19.818112,74.031292,1200423,14,23237,
145,MAHARASHTRA,Nashik,20.317669,74.197811,1223511,14,17555,
146,MAHARASHTRA,Nashik,19.984631,73.839155,1208345,14,21385,
147,MAHARASHTRA,Nashik,19.933394,73.864773,1205897,14,,
148,MAHARASHTRA,Nashik,20.458569,74.50523,1229738,14,7257,
149,MAHARASHTRA,Nashik,20.253623,73.851964,1220707,14,,
150,MAHARASHTRA,Nashik,20.394524,74.479612,1226924,13,12642,
151,MAHARASHTRA,Nashik,20.317669,74.172192,1223509,13,23287,
152,MAHARASHTRA,Nashik,20.30486,74.65894,1222988,13,20773,
153,MAHARASHTRA,Nashik,20.125532,74.453994,1215081,13,15466,
154,MAHARASHTRA,Nashik,19.818112,73.672636,1200395,13,,
155,MAHARASHTRA,Nashik,20.535424,74.50523,1233095,13,24800,
156,MAHARASHTRA,Nashik,20.010249,73.736681,1209562,13,,
157,MAHARASHTRA,Nashik,19.754066,73.775109,1197441,13,23019,
158,MAHARASHTRA,Nashik,20.266432,74.428375,1221301,13,16558,
159,MAHARASHTRA,Nashik,20.266432,73.493308,1221228,13,,
160,MAHARASHTRA,Nashik,20.44576,74.377139,1229166,13,17122,
161,MAHARASHTRA,Nashik,20.586661,74.197811,1235297,13,,
162,MAHARASHTRA,Nashik,19.99744,73.813536,1208955,13,,
163,MAHARASHTRA,Nashik,19.869349,73.954437,1202861,13,10278,
164,MAHARASHTRA,Nashik,20.279241,74.108147,1221830,13,13364,
165,MAHARASHTRA,Nashik,20.099913,73.941628,1213849,13,22791,
166,MAHARASHTRA,Nashik,20.663516,74.428375,1238570,12,15320,
167,MAHARASHTRA,Nashik,19.84373,73.980055,1201646,12,13212,
168,MAHARASHTRA,Nashik,19.984631,73.711063,1208335,12,,
169,MAHARASHTRA,Nashik,19.84373,73.685445,1201623,12,21512,
170,MAHARASHTRA,Nashik,20.074295,74.146574,1212658,12,20774,
171,MAHARASHTRA,Nashik,20.548233,74.50523,1233653,12,,
172,MAHARASHTRA,Nashik,20.215196,73.839155,1219059,12,23279,
173,MAHARASHTRA,Nashik,19.84373,74.05691,1201652,12,14377,
174,MAHARASHTRA,Nashik,20.202387,74.441185,1218542,12,,
175,MAHARASHTRA,Nashik,20.253623,73.544544,1220683,12,,
176,MAHARASHTRA,Nashik,20.394524,74.338711,1226913,12,,
177,MAHARASHTRA,Nashik,20.189577,73.723872,1217916,12,18651,
178,MAHARASHTRA,Nashik,20.663516,74.146574,1238548,12,22011,
179,MAHARASHTRA,Nashik,19.830921,73.980055,1201033,12,16052,
180,MAHARASHTRA,Nashik,20.727562,74.313093,1241220,12,,
181,MAHARASHTRA,Nashik,20.30486,74.453994,1222972,12,17553,
182,MAHARASHTRA,Nashik,20.035868,73.813536,1210794,12,,
183,MAHARASHTRA,Nashik,19.894967,73.928819,1204075,12,17895,
184,MAHARASHTRA,Nashik,20.176768,73.980055,1217366,12,18979,
185,MAHARASHTRA,Nashik,20.650707,74.671749,1238053,12,25032,
186,MAHARASHTRA,Nashik,20.15115,74.236238,1216239,12,14441,
187,MAHARASHTRA,Nashik,20.138341,73.980055,1215637,12,9469,
188,MAHARASHTRA,Nashik,20.035868,73.851964,1210797,12,,
189,MAHARASHTRA,Nashik,20.292051,74.684558,1222432,12,17160,
190,MAHARASHTRA,Nashik,20.625088,74.466803,1236960,12,18789,
191,MAHARASHTRA,Nashik,19.971822,73.685445,1207721,12,12087,
192,MAHARASHTRA,Nashik,19.715639,73.634208,1195676,12,,
193,MAHARASHTRA,Nashik,20.778798,74.133765,1243280,12,19429,
194,MAHARASHTRA,Nashik,19.99744,73.711063,1208947,12,,
195,MAHARASHTRA,Nashik,19.741257,73.634208,1196847,11,24096,
196,MAHARASHTRA,Nashik,20.061486,74.044101,1212038,11,19641,
197,MAHARASHTRA,Nashik,19.766876,73.775109,1198027,11,13206,
198,MAHARASHTRA,Nashik,20.061486,74.479612,1212072,11,23730,
199,MAHARASHTRA,Nashik,19.690021,73.557353,1194501,11,22189,
200,MAHARASHTRA,Nashik,19.971822,73.672636,1207720,11,20714,
201,MAHARASHTRA,Nashik,20.343287,74.249047,1224643,11,17279,
202,MAHARASHTRA,Nashik,20.292051,73.928819,1222373,11,14146,
203,MAHARASHTRA,Nashik,20.330478,74.466803,1224095,11,17478,
204,MAHARASHTRA,Nashik,20.548233,74.479612,1233651,11,18414,
205,MAHARASHTRA,Nashik,20.074295,74.466803,1212683,11,23198,
206,MAHARASHTRA,Nashik,20.048677,73.775109,1211404,11,,
207,MAHARASHTRA,Nashik,20.087104,73.928819,1213247,11,,
208,MAHARASHTRA,Nashik,20.676325,74.415566,1239105,11,23670,
209,MAHARASHTRA,Nashik,20.548233,74.466803,1233650,11,20946,
210,MAHARASHTRA,Nashik,20.202387,74.018483,1218509,11,15781,
211,MAHARASHTRA,Nashik,20.15115,73.749491,1216201,11,9399,
212,MAHARASHTRA,Nashik,19.933394,73.531735,1205871,11,15697,
213,MAHARASHTRA,Nashik,20.176768,73.826345,1217354,11,25402,
214,MAHARASHTRA,Nashik,20.356096,74.300284,1225212,11,24794,
215,MAHARASHTRA,Nashik,20.023058,73.7623,1210177,11,,
216,MAHARASHTRA,Nashik,20.010249,73.967246,1209580,11,20155,
217,MAHARASHTRA,Nashik,20.59947,74.607703,1235881,11,,
218,MAHARASHTRA,Nashik,19.882158,73.941628,1203465,11,19401,
219,MAHARASHTRA,Nashik,20.586661,74.582085,1235327,11,21868,
220,MAHARASHTRA,Nashik,20.432951,74.36433,1228603,11,,
221,MAHARASHTRA,Nashik,20.432951,73.775109,1228557,11,,
222,MAHARASHTRA,Nashik,19.984631,73.736681,1208337,10,19629,
223,MAHARASHTRA,Nashik,19.779685,73.659827,1198606,10,,
224,MAHARASHTRA,Nashik,19.959013,73.60859,1207102,10,16706,
225,MAHARASHTRA,Nashik,20.407333,74.338711,1227476,10,19257,
226,MAHARASHTRA,Nashik,19.959013,73.595781,1207101,10,14926,
227,MAHARASHTRA,Nashik,19.946204,73.800727,1206503,10,,
228,MAHARASHTRA,Nashik,19.715639,74.146574,1195716,10,23823,
229,MAHARASHTRA,Nashik,20.330478,74.223429,1224076,10,,
230,MAHARASHTRA,Nashik,20.189577,73.826345,1217924,10,17996,
231,MAHARASHTRA,Nashik,20.202387,73.711063,1218485,10,21505,
232,MAHARASHTRA,Nashik,19.933394,73.826345,1205894,10,,
233,MAHARASHTRA,Nashik,19.690021,73.518926,1194498,10,14685,
234,MAHARASHTRA,Nashik,20.509806,74.479612,1231976,10,,
235,MAHARASHTRA,Nashik,19.920585,73.890391,1205293,10,,
236,MAHARASHTRA,Nashik,19.818112,73.890391,1200412,10,24781,
237,MAHARASHTRA,Nashik,19.715639,73.685445,1195680,10,24498,
238,MAHARASHTRA,Nashik,20.023058,73.711063,1210173,10,,
239,MAHARASHTRA,Nashik,20.292051,73.442071,1222335,10,,
240,MAHARASHTRA,Nashik,20.010249,73.839155,1209570,10,,
241,MAHARASHTRA,Nashik,20.612279,74.530849,1236422,10,,
