Sr_No,State,District,Latitude,Longitude,Grid_ID,Accident_Count,All_India_Rank
242,MAHARASHTRA,Nashik,19.754066,73.647017,1197431,10,14777,
243,MAHARASHTRA,Nashik,20.099913,74.223429,1213871,10,25374,
244,MAHARASHTRA,Nashik,20.266432,74.453994,1221303,10,15840,
245,MAHARASHTRA,Nashik,20.266432,73.851964,1221256,10,,
246,MAHARASHTRA,Nashik,19.946204,73.826345,1206505,10,,
247,MAHARASHTRA,Nashik,19.805303,73.800727,1199803,10,21648,
248,MAHARASHTRA,Nashik,19.869349,73.685445,1202840,10,20559,
249,MAHARASHTRA,Nashik,19.85654,73.980055,1202256,10,,
250,MAHARASHTRA,Nashik,19.85654,73.967246,1202255,10,,
251,MAHARASHTRA,Nashik,19.690021,73.582972,1194503,10,14611,
252,MAHARASHTRA,Nashik,20.612279,74.185002,1236395,10,,
253,MAHARASHTRA,Nashik,20.253623,73.506117,1220680,9,,
254,MAHARASHTRA,Nashik,20.087104,73.775109,1213235,9,16421,
255,MAHARASHTRA,Nashik,20.074295,74.133765,1212657,9,17917,
256,MAHARASHTRA,Nashik,20.573852,74.197811,1234745,9,24616,
257,MAHARASHTRA,Nashik,19.84373,74.018483,1201649,9,,
258,MAHARASHTRA,Nashik,20.240814,73.634208,1220143,9,,
259,MAHARASHTRA,Nashik,20.253623,73.582972,1220686,9,21313,
260,MAHARASHTRA,Nashik,19.728448,74.133765,1196301,9,,
261,MAHARASHTRA,Nashik,19.830921,73.992864,1201034,9,,
262,MAHARASHTRA,Nashik,20.330478,74.21062,1224075,9,,
263,MAHARASHTRA,Nashik,20.368905,73.890391,1225746,9,,
264,MAHARASHTRA,Nashik,19.70283,73.531735,1195081,9,,
265,MAHARASHTRA,Nashik,20.163959,74.620513,1216845,9,24141,
266,MAHARASHTRA,Nashik,20.15115,74.441185,1216255,9,20692,
267,MAHARASHTRA,Nashik,20.343287,73.877582,1224614,9,25942,
268,MAHARASHTRA,Nashik,20.292051,74.325902,1222404,9,,
269,MAHARASHTRA,Nashik,19.818112,73.967246,1200418,9,20815,
270,MAHARASHTRA,Nashik,20.138341,73.813536,1215624,9,16562,
271,MAHARASHTRA,Nashik,20.125532,74.236238,1215064,9,23766,
272,MAHARASHTRA,Nashik,20.023058,73.736681,1210175,9,,
273,MAHARASHTRA,Nashik,20.279241,74.441185,1221856,9,,
274,MAHARASHTRA,Nashik,20.496997,74.441185,1231414,9,,
275,MAHARASHTRA,Nashik,20.138341,74.236238,1215657,9,,
276,MAHARASHTRA,Nashik,19.907776,73.698254,1204669,9,,
277,MAHARASHTRA,Nashik,20.112722,74.453994,1214485,9,,
278,MAHARASHTRA,Nashik,20.010249,73.954437,1209579,9,,
279,MAHARASHTRA,Nashik,19.805303,74.044101,1199822,9,20421,
280,MAHARASHTRA,Nashik,19.882158,73.839155,1203457,9,,
281,MAHARASHTRA,Nashik,20.586661,74.594894,1235328,9,24237,
282,MAHARASHTRA,Nashik,20.432951,74.492421,1228613,9,,
283,MAHARASHTRA,Nashik,20.407333,74.492421,1227488,8,,
284,MAHARASHTRA,Nashik,20.087104,73.800727,1213237,8,23936,
285,MAHARASHTRA,Nashik,19.946204,73.557353,1206484,8,,
286,MAHARASHTRA,Nashik,20.573852,74.582085,1234775,8,,
287,MAHARASHTRA,Nashik,20.573852,74.594894,1234776,8,25846,
288,MAHARASHTRA,Nashik,20.548233,74.569276,1233658,8,,
289,MAHARASHTRA,Nashik,20.215196,73.685445,1219047,8,,
290,MAHARASHTRA,Nashik,20.048677,74.428375,1211455,8,19648,
291,MAHARASHTRA,Nashik,20.330478,74.249047,1224078,8,,
292,MAHARASHTRA,Nashik,20.343287,73.890391,1224615,8,,
293,MAHARASHTRA,Nashik,20.573852,74.530849,1234771,8,,
294,MAHARASHTRA,Nashik,19.959013,73.621399,1207103,8,,
295,MAHARASHTRA,Nashik,20.048677,73.685445,1211397,8,,
296,MAHARASHTRA,Nashik,19.946204,73.787918,1206502,8,,
297,MAHARASHTRA,Nashik,20.035868,74.479612,1210846,8,,
298,MAHARASHTRA,Nashik,20.163959,73.826345,1216783,8,17162,
299,MAHARASHTRA,Nashik,20.163959,73.980055,1216795,8,,
300,MAHARASHTRA,Nashik,19.818112,74.300284,1200444,8,,
301,MAHARASHTRA,Nashik,20.15115,73.826345,1216207,8,,
302,MAHARASHTRA,Nashik,19.715639,73.736681,1195684,8,23196,
303,MAHARASHTRA,Nashik,19.818112,74.018483,1200422,8,,
304,MAHARASHTRA,Nashik,20.292051,74.120956,1222388,8,19502,
305,MAHARASHTRA,Nashik,19.920585,73.91601,1205295,8,,
306,MAHARASHTRA,Nashik,20.138341,73.967246,1215636,8,,
307,MAHARASHTRA,Nashik,19.959013,74.65894,1207184,8,,
308,MAHARASHTRA,Nashik,19.818112,73.826345,1200407,8,16835,
309,MAHARASHTRA,Nashik,20.496997,74.466803,1231416,8,17520,
310,MAHARASHTRA,Nashik,20.125532,73.967246,1215043,8,20699,
311,MAHARASHTRA,Nashik,20.612279,74.479612,1236418,8,,
312,MAHARASHTRA,Nashik,20.010249,74.005674,1209583,8,,
313,MAHARASHTRA,Nashik,19.805303,73.941628,1199814,8,25377,
314,MAHARASHTRA,Nashik,20.266432,74.402757,1221299,8,,
315,MAHARASHTRA,Nashik,19.99744,74.607703,1209017,8,,
316,MAHARASHTRA,Nashik,20.471379,74.005674,1230260,8,,
317,MAHARASHTRA,Nashik,20.59947,74.492421,1235872,8,,
318,MAHARASHTRA,Nashik,20.099913,73.7623,1213835,8,,
319,MAHARASHTRA,Nashik,19.882158,73.698254,1203446,8,,
320,MAHARASHTRA,Nashik,20.010249,74.492421,1209621,8,25546,
321,MAHARASHTRA,Nashik,19.869349,73.839155,1202852,8,,
322,MAHARASHTRA,Nashik,19.805303,73.787918,1199802,8,9016,
323,MAHARASHTRA,Nashik,20.317669,74.453994,1223531,8,24092,
324,MAHARASHTRA,Nashik,20.573852,74.646131,1234780,7,17596,
325,MAHARASHTRA,Nashik,20.573852,74.50523,1234769,7,,
326,MAHARASHTRA,Nashik,20.573852,74.607703,1234777,7,23030,
327,MAHARASHTRA,Nashik,20.074295,73.91601,1212640,7,,
328,MAHARASHTRA,Nashik,20.407333,73.800727,1227434,7,11170,
329,MAHARASHTRA,Nashik,19.84373,74.095338,1201655,7,25988,
330,MAHARASHTRA,Nashik,20.381715,73.839155,1226308,7,,
331,MAHARASHTRA,Nashik,20.381715,74.479612,1226358,7,,
332,MAHARASHTRA,Nashik,20.368905,74.479612,1225792,7,26158,
333,MAHARASHTRA,Nashik,20.240814,74.338711,1220198,7,,
334,MAHARASHTRA,Nashik,20.228005,74.05691,1219630,7,19330,
335,MAHARASHTRA,Nashik,20.573852,74.518039,1234770,7,,
336,MAHARASHTRA,Nashik,19.792494,74.069719,1199227,7,,
337,MAHARASHTRA,Nashik,20.074295,74.120956,1212656,7,,
338,MAHARASHTRA,Nashik,20.356096,73.864773,1225178,7,,
339,MAHARASHTRA,Nashik,20.228005,73.647017,1219598,7,24146,
340,MAHARASHTRA,Nashik,20.356096,73.851964,1225177,7,,
341,MAHARASHTRA,Nashik,20.548233,74.722986,1233670,7,24619,
342,MAHARASHTRA,Nashik,20.215196,73.954437,1219068,7,,
343,MAHARASHTRA,Nashik,20.343287,74.261856,1224644,7,7056,
344,MAHARASHTRA,Nashik,20.356096,74.479612,1225226,7,17522,
345,MAHARASHTRA,Nashik,20.215196,74.441185,1219106,7,,
346,MAHARASHTRA,Nashik,20.548233,74.453994,1233649,7,,
347,MAHARASHTRA,Nashik,20.074295,74.159383,1212659,7,,
348,MAHARASHTRA,Nashik,20.548233,74.300284,1233637,7,,
349,MAHARASHTRA,Nashik,20.176768,74.441185,1217402,7,17997,
350,MAHARASHTRA,Nashik,20.228005,73.954437,1219622,7,,
351,MAHARASHTRA,Nashik,20.048677,74.492421,1211460,7,,
352,MAHARASHTRA,Nashik,20.330478,74.05691,1224063,7,,
353,MAHARASHTRA,Nashik,20.548233,74.402757,1233645,7,,
354,MAHARASHTRA,Nashik,19.946204,73.723872,1206497,7,,
355,MAHARASHTRA,Nashik,19.779685,74.082528,1198639,7,,
356,MAHARASHTRA,Nashik,20.048677,73.749491,1211402,7,,
357,MAHARASHTRA,Nashik,20.163959,74.441185,1216831,7,,
358,MAHARASHTRA,Nashik,20.035868,74.005674,1210809,7,,
359,MAHARASHTRA,Nashik,20.15115,73.890391,1216212,7,,
360,MAHARASHTRA,Nashik,20.317669,74.236238,1223514,7,,
361,MAHARASHTRA,Nashik,19.779685,73.775109,1198615,7,21891,
362,MAHARASHTRA,Nashik,20.740371,74.146574,1241726,7,,
363,MAHARASHTRA,Nashik,20.509806,73.749491,1231919,7,,
364,MAHARASHTRA,Nashik,20.292051,73.877582,1222369,7,,
365,MAHARASHTRA,Nashik,20.509806,74.197811,1231954,7,,
366,MAHARASHTRA,Nashik,20.023058,73.749491,1210176,7,,
367,MAHARASHTRA,Nashik,20.048677,74.377139,1211451,7,,
368,MAHARASHTRA,Nashik,20.279241,74.249047,1221841,7,,
369,MAHARASHTRA,Nashik,19.907776,73.826345,1204679,7,,
370,MAHARASHTRA,Nashik,20.471379,74.50523,1230299,7,21029,
371,MAHARASHTRA,Nashik,20.010249,73.980055,1209581,7,,
372,MAHARASHTRA,Nashik,20.471379,74.185002,1230274,7,,
373,MAHARASHTRA,Nashik,20.484188,74.428375,1230853,7,,
374,MAHARASHTRA,Nashik,20.59947,74.594894,1235880,7,,
375,MAHARASHTRA,Nashik,20.112722,74.223429,1214467,7,,
376,MAHARASHTRA,Nashik,20.266432,74.415566,1221300,7,,
377,MAHARASHTRA,Nashik,20.458569,74.389948,1229729,7,,
378,MAHARASHTRA,Nashik,19.805303,74.236238,1199837,7,,
379,MAHARASHTRA,Nashik,20.266432,74.082528,1221274,7,,
380,MAHARASHTRA,Nashik,20.612279,74.620513,1236429,7,,
381,MAHARASHTRA,Nashik,19.805303,73.954437,1199815,7,,
382,MAHARASHTRA,Nashik,20.586661,74.21062,1235298,7,,
383,MAHARASHTRA,Nashik,20.266432,73.480499,1221227,7,,
384,MAHARASHTRA,Nashik,19.99744,73.826345,1208956,7,,
385,MAHARASHTRA,Nashik,20.087104,74.108147,1213261,7,,
386,MAHARASHTRA,Nashik,19.99744,73.9032,1208962,7,,
387,MAHARASHTRA,Nashik,20.087104,74.466803,1213289,7,,
388,MAHARASHTRA,Nashik,19.805303,73.813536,1199804,7,21208,
389,MAHARASHTRA,Nashik,20.253623,73.621399,1220689,7,26159,
390,MAHARASHTRA,Nashik,19.85654,74.005674,1202258,7,,
391,MAHARASHTRA,Nashik,20.458569,74.172192,1229712,7,10013,
392,MAHARASHTRA,Nashik,19.984631,74.492421,1208396,6,,
393,MAHARASHTRA,Nashik,20.420142,73.787918,1227995,6,,
394,MAHARASHTRA,Nashik,19.792494,74.249047,1199241,6,,
395,MAHARASHTRA,Nashik,20.573852,74.556467,1234773,6,23924,
396,MAHARASHTRA,Nashik,20.573852,74.620513,1234778,6,,
397,MAHARASHTRA,Nashik,20.561043,74.556467,1234215,6,,
398,MAHARASHTRA,Nashik,20.561043,74.671749,1234224,6,,
399,MAHARASHTRA,Nashik,20.240814,73.851964,1220160,6,,
400,MAHARASHTRA,Nashik,20.240814,73.647017,1220144,6,,
401,MAHARASHTRA,Nashik,19.84373,74.031292,1201650,6,,
402,MAHARASHTRA,Nashik,20.074295,73.800727,1212631,6,22521,
403,MAHARASHTRA,Nashik,20.228005,73.659827,1219599,6,,
404,MAHARASHTRA,Nashik,20.240814,74.441185,1220206,6,,
405,MAHARASHTRA,Nashik,19.792494,74.05691,1199226,6,,
406,MAHARASHTRA,Nashik,20.356096,73.890391,1225180,6,,
407,MAHARASHTRA,Nashik,19.728448,73.749491,1196271,6,,
408,MAHARASHTRA,Nashik,19.830921,73.851964,1201023,6,,
409,MAHARASHTRA,Nashik,20.061486,74.300284,1212058,6,22787,
410,MAHARASHTRA,Nashik,20.189577,74.236238,1217956,6,,
411,MAHARASHTRA,Nashik,19.959013,73.506117,1207094,6,,
412,MAHARASHTRA,Nashik,20.778798,74.146574,1243281,6,,
413,MAHARASHTRA,Nashik,20.548233,74.377139,1233643,6,,
414,MAHARASHTRA,Nashik,19.946204,73.570163,1206485,6,,
415,MAHARASHTRA,Nashik,19.779685,74.069719,1198638,6,,
416,MAHARASHTRA,Nashik,20.048677,73.723872,1211400,6,,
417,MAHARASHTRA,Nashik,20.176768,74.236238,1217386,6,22626,
418,MAHARASHTRA,Nashik,19.830921,74.018483,1201036,6,,
419,MAHARASHTRA,Nashik,20.189577,73.980055,1217936,6,,
420,MAHARASHTRA,Nashik,20.30486,74.671749,1222989,6,,
421,MAHARASHTRA,Nashik,20.317669,73.877582,1223486,6,,
422,MAHARASHTRA,Nashik,20.689134,74.389948,1239638,6,,
423,MAHARASHTRA,Nashik,20.522615,74.518039,1232538,6,,
424,MAHARASHTRA,Nashik,20.30486,74.594894,1222983,6,,
425,MAHARASHTRA,Nashik,20.163959,74.018483,1216798,6,18239,
426,MAHARASHTRA,Nashik,20.522615,74.479612,1232535,6,,
427,MAHARASHTRA,Nashik,19.933394,73.813536,1205893,6,,
428,MAHARASHTRA,Nashik,19.818112,74.005674,1200421,6,,
429,MAHARASHTRA,Nashik,20.637897,74.65894,1237514,6,,
430,MAHARASHTRA,Nashik,20.023058,74.005674,1210196,6,,
431,MAHARASHTRA,Nashik,20.509806,74.466803,1231975,6,,
432,MAHARASHTRA,Nashik,19.818112,73.954437,1200417,6,,
433,MAHARASHTRA,Nashik,20.138341,74.223429,1215656,6,,
434,MAHARASHTRA,Nashik,20.625088,74.530849,1236965,6,,
435,MAHARASHTRA,Nashik,20.292051,73.45488,1222336,6,,
436,MAHARASHTRA,Nashik,20.279241,74.50523,1221861,6,,
437,MAHARASHTRA,Nashik,19.907776,74.05691,1204697,6,,
438,MAHARASHTRA,Nashik,20.612279,74.633322,1236430,6,,
439,MAHARASHTRA,Nashik,20.625088,74.646131,1236974,6,,
440,MAHARASHTRA,Nashik,20.75318,74.287475,1242255,6,,
441,MAHARASHTRA,Nashik,19.907776,73.839155,1204680,6,,
442,MAHARASHTRA,Nashik,20.471379,74.415566,1230292,6,,
443,MAHARASHTRA,Nashik,20.112722,74.556467,1214493,6,,
444,MAHARASHTRA,Nashik,20.612279,74.197811,1236396,6,,
445,MAHARASHTRA,Nashik,20.112722,74.120956,1214459,6,,
446,MAHARASHTRA,Nashik,19.894967,73.91601,1204074,6,,
447,MAHARASHTRA,Nashik,20.484188,73.928819,1230814,6,,
448,MAHARASHTRA,Nashik,20.112722,73.813536,1214435,6,,
449,MAHARASHTRA,Nashik,20.010249,73.992864,1209582,6,,
450,MAHARASHTRA,Nashik,20.112722,73.467689,1214408,6,14553,
451,MAHARASHTRA,Nashik,19.70283,74.146574,1195129,6,,
452,MAHARASHTRA,Nashik,20.458569,74.197811,1229714,6,,
453,MAHARASHTRA,Nashik,20.586661,74.492421,1235320,6,,
454,MAHARASHTRA,Nashik,20.44576,74.172192,1229150,6,,
455,MAHARASHTRA,Nashik,19.99744,73.928819,1208964,6,,
456,MAHARASHTRA,Nashik,19.99744,73.877582,1208960,6,,
457,MAHARASHTRA,Nashik,20.253623,74.351521,1220746,6,,
458,MAHARASHTRA,Nashik,20.44576,73.7623,1229118,6,,
459,MAHARASHTRA,Nashik,20.496997,74.031292,1231382,6,,
460,MAHARASHTRA,Nashik,20.125532,73.813536,1215031,6,,
461,MAHARASHTRA,Nashik,19.741257,73.7623,1196857,6,24381,
462,MAHARASHTRA,Nashik,20.407333,74.351521,1227477,5,,
463,MAHARASHTRA,Nashik,20.074295,74.274666,1212668,5,,
464,MAHARASHTRA,Nashik,20.420142,73.9032,1228004,5,,
465,MAHARASHTRA,Nashik,19.984631,73.851964,1208346,5,,
466,MAHARASHTRA,Nashik,20.394524,74.159383,1226899,5,,
467,MAHARASHTRA,Nashik,19.84373,74.108147,1201656,5,,
468,MAHARASHTRA,Nashik,20.074295,74.05691,1212651,5,,
469,MAHARASHTRA,Nashik,20.074295,73.672636,1212621,5,,
470,MAHARASHTRA,Nashik,20.074295,73.775109,1212629,5,,
471,MAHARASHTRA,Nashik,19.984631,73.442071,1208314,5,,
472,MAHARASHTRA,Nashik,20.074295,73.634208,1212618,5,,
473,MAHARASHTRA,Nashik,20.573852,74.236238,1234748,5,,
474,MAHARASHTRA,Nashik,20.420142,74.492421,1228050,5,,
475,MAHARASHTRA,Nashik,20.561043,74.197811,1234187,5,,
476,MAHARASHTRA,Nashik,19.84373,73.967246,1201645,5,,
477,MAHARASHTRA,Nashik,20.061486,74.313093,1212059,5,,
478,MAHARASHTRA,Nashik,20.561043,74.325902,1234197,5,,
479,MAHARASHTRA,Nashik,20.061486,74.338711,1212061,5,,
480,MAHARASHTRA,Nashik,20.215196,74.172192,1219085,5,,
481,MAHARASHTRA,Nashik,19.971822,73.493308,1207706,5,,
482,MAHARASHTRA,Nashik,19.728448,73.672636,1196265,5,,
483,MAHARASHTRA,Nashik,20.343287,74.825459,1224688,5,,
484,MAHARASHTRA,Nashik,20.202387,73.954437,1218504,5,,
485,MAHARASHTRA,Nashik,20.215196,73.672636,1219046,5,,
486,MAHARASHTRA,Nashik,19.792494,73.787918,1199205,5,,
487,MAHARASHTRA,Nashik,20.048677,73.967246,1211419,5,,
488,MAHARASHTRA,Nashik,19.830921,73.864773,1201024,5,19863,
489,MAHARASHTRA,Nashik,20.561043,74.50523,1234211,5,,
490,MAHARASHTRA,Nashik,20.548233,74.197811,1233629,5,,
491,MAHARASHTRA,Nashik,19.830921,74.338711,1201061,5,,
492,MAHARASHTRA,Nashik,20.202387,74.031292,1218510,5,,
493,MAHARASHTRA,Nashik,19.830921,74.172192,1201048,5,,
494,MAHARASHTRA,Nashik,20.330478,73.967246,1224056,5,,
495,MAHARASHTRA,Nashik,19.690021,73.531735,1194499,5,,
496,MAHARASHTRA,Nashik,19.792494,73.557353,1199187,5,,
497,MAHARASHTRA,Nashik,20.317669,74.671749,1223548,5,,
498,MAHARASHTRA,Nashik,20.535424,74.748604,1233114,5,,
499,MAHARASHTRA,Nashik,19.830921,74.108147,1201043,5,,
500,MAHARASHTRA,Nashik,19.830921,74.005674,1201035,5,,
